
Predictions were generated on 05-Feb-2019 at 10:24:22 using FAST (v8.16.00a-bjj, 27-Jul-2016), compiled as a 64-bit application using single precision
 linked with  NWTC Subroutine Library (v2.09.00, 23-Jul-2016); ElastoDyn (v1.04.00a-bjj, 26-Jul-2016); InflowWind (v3.03.00, 26-Jul-2016); AeroDyn14 (v14.05.01a-bjj, 25-Jul-2016); ServoDyn (v1.06.00a-bjj, 26-Jul-2016)

Description from the FAST input file: ---

Time      	Spn2ALxb1 	TipDyb2   	TipDxb2   	Spn2ALyb1 	TipALyb2  	TipALxb2  	LSSGagPxa 	TeetDefl  	LSSGagVxa 	YawBrRDyt 	YawBrRAxp 	YawBrRVyp 	YawBrRDxt 	YawBrRAyp 	YawBrRVxp 	RootFxc2  	Spn3MLxb1 	RootMyc1  	RootFyc2  	Spn3MLyb1 	RootMxc1  	RotTorq   	YawBrMzn  	TwrBsMzt  
(s)       	(m/s^2)   	(m)       	(m)       	(m/s^2)   	(m/s^2)   	(m/s^2)   	(deg)     	(deg)     	(rpm)     	(deg)     	(deg/s^2) 	(deg/s)   	(deg)     	(deg/s^2) 	(deg/s)   	(kN)      	(kN·m)    	(kN·m)    	(kN)      	(kN·m)    	(kN·m)    	(kN·m)    	(kN·m)    	(kN·m)    
   10.0000	 2.749E+01	-2.519E-02	 1.621E-01	 2.372E+00	-6.314E-01	 7.222E+01	 1.830E+01	 9.530E-01	 5.428E+01	 1.001E-01	-2.171E-01	-3.177E-02	 3.380E-02	 3.895E-01	-1.714E-03	 4.917E+00	 1.655E+00	 3.653E+01	-1.198E+00	 3.723E+00	 2.079E+01	 3.560E+01	-1.861E+00	-1.864E+00
   10.0200	 2.817E+01	-2.498E-02	 1.590E-01	 2.164E+00	 1.294E+00	 7.225E+01	 2.482E+01	 8.770E-01	 5.428E+01	 9.952E-02	-1.913E-01	-2.767E-02	 3.372E-02	-2.277E-02	-5.888E-03	 4.949E+00	 1.774E+00	 3.624E+01	-9.598E-01	 3.904E+00	 2.237E+01	 3.676E+01	-1.884E+00	-1.886E+00
   10.0400	 2.959E+01	-2.419E-02	 1.592E-01	 2.307E+00	 1.764E+00	 6.883E+01	 3.133E+01	 7.891E-01	 5.429E+01	 9.893E-02	-1.324E-01	-3.264E-02	 3.357E-02	-4.294E-01	-9.131E-03	 4.802E+00	 1.992E+00	 3.533E+01	-5.707E-01	 4.234E+00	 2.462E+01	 3.722E+01	-2.803E+00	-2.804E+00
   10.0600	 3.038E+01	-2.287E-02	 1.613E-01	 2.564E+00	 8.783E-01	 6.489E+01	 3.784E+01	 6.904E-01	 5.429E+01	 9.818E-02	-8.500E-02	-4.178E-02	 3.336E-02	-3.932E-01	-1.125E-02	 4.692E+00	 2.246E+00	 3.483E+01	-6.432E-02	 4.471E+00	 2.714E+01	 3.681E+01	-4.238E+00	-4.238E+00
   10.0800	 3.017E+01	-2.157E-02	 1.642E-01	 2.708E+00	-4.676E-01	 6.363E+01	 4.436E+01	 5.835E-01	 5.429E+01	 9.730E-02	-8.793E-02	-4.521E-02	 3.312E-02	 1.006E-01	-1.287E-02	 4.722E+00	 2.479E+00	 3.520E+01	 4.404E-01	 4.520E+00	 2.946E+01	 3.611E+01	-5.521E+00	-5.521E+00
   10.1000	 2.934E+01	-2.087E-02	 1.670E-01	 2.629E+00	-9.686E-01	 6.444E+01	 5.087E+01	 4.698E-01	 5.429E+01	 9.645E-02	-1.385E-01	-3.750E-02	 3.284E-02	 6.338E-01	-1.509E-02	 4.869E+00	 2.622E+00	 3.617E+01	 8.112E-01	 4.436E+00	 3.110E+01	 3.579E+01	-6.186E+00	-6.184E+00
   10.1200	 2.871E+01	-2.094E-02	 1.698E-01	 2.384E+00	-1.758E-01	 6.523E+01	 5.739E+01	 3.499E-01	 5.428E+01	 9.584E-02	-1.797E-01	-2.257E-02	 3.251E-02	 7.738E-01	-1.835E-02	 5.012E+00	 2.652E+00	 3.708E+01	 1.004E+00	 4.359E+00	 3.194E+01	 3.610E+01	-6.234E+00	-6.232E+00
   10.1400	 2.874E+01	-2.146E-02	 1.727E-01	 2.122E+00	 1.245E+00	 6.491E+01	 6.390E+01	 2.250E-01	 5.428E+01	 9.553E-02	-1.501E-01	-9.712E-03	 3.211E-02	 4.533E-01	-2.180E-02	 5.058E+00	 2.611E+00	 3.752E+01	 1.084E+00	 4.379E+00	 3.225E+01	 3.672E+01	-6.015E+00	-6.012E+00
   10.1600	 2.923E+01	-2.192E-02	 1.754E-01	 1.971E+00	 2.268E+00	 6.375E+01	 7.042E+01	 9.623E-02	 5.429E+01	 9.540E-02	-3.514E-02	-5.412E-03	 3.165E-02	-1.100E-02	-2.377E-02	 5.026E+00	 2.567E+00	 3.759E+01	 1.151E+00	 4.468E+00	 3.249E+01	 3.715E+01	-5.878E+00	-5.875E+00
