
This file was generated by AeroDyn14 (v14.05.01a-bjj, 25-Jul-2016) on 06-Feb-2019 at 11:33:01.




Time	VX10	VY10	VZ10	Alpha01	DynPres01	CLift01	CDrag01	CNorm01	CTang01	Pitch01	AxInd01	TanInd01	ForcN01	ForcT01	ReNum01	Alpha02	DynPres02	CLift02	CDrag02	CNorm02	CTang02	Pitch02	AxInd02	TanInd02	ForcN02	ForcT02	ReNum02	Alpha03	DynPres03	CLift03	CDrag03	CNorm03	CTang03	Pitch03	AxInd03	TanInd03	ForcN03	ForcT03	ReNum03	Alpha04	DynPres04	CLift04	CDrag04	CNorm04	CTang04	Pitch04	AxInd04	TanInd04	ForcN04	ForcT04	ReNum04	Alpha05	DynPres05	CLift05	CDrag05	CNorm05	CTang05	Pitch05	AxInd05	TanInd05	ForcN05	ForcT05	ReNum05	Alpha06	DynPres06	CLift06	CDrag06	CNorm06	CTang06	Pitch06	AxInd06	TanInd06	ForcN06	ForcT06	ReNum06	Alpha07	DynPres07	CLift07	CDrag07	CNorm07	CTang07	Pitch07	AxInd07	TanInd07	ForcN07	ForcT07	ReNum07	Alpha08	DynPres08	CLift08	CDrag08	CNorm08	CTang08	Pitch08	AxInd08	TanInd08	ForcN08	ForcT08	ReNum08	Alpha09	DynPres09	CLift09	CDrag09	CNorm09	CTang09	Pitch09	AxInd09	TanInd09	ForcN09	ForcT09	ReNum09	Alpha10	DynPres10	CLift10	CDrag10	CNorm10	CTang10	Pitch10	AxInd10	TanInd10	ForcN10	ForcT10	ReNum10
(sec)	 (m/sec)	 (m/sec)	 (m/sec)	(deg)	(Pa)	(-)	(-)	(-)	(-)	(deg)	(-)	(-)	(N)	(N)	(x10^6)	(deg)	(Pa)	(-)	(-)	(-)	(-)	(deg)	(-)	(-)	(N)	(N)	(x10^6)	(deg)	(Pa)	(-)	(-)	(-)	(-)	(deg)	(-)	(-)	(N)	(N)	(x10^6)	(deg)	(Pa)	(-)	(-)	(-)	(-)	(deg)	(-)	(-)	(N)	(N)	(x10^6)	(deg)	(Pa)	(-)	(-)	(-)	(-)	(deg)	(-)	(-)	(N)	(N)	(x10^6)	(deg)	(Pa)	(-)	(-)	(-)	(-)	(deg)	(-)	(-)	(N)	(N)	(x10^6)	(deg)	(Pa)	(-)	(-)	(-)	(-)	(deg)	(-)	(-)	(N)	(N)	(x10^6)	(deg)	(Pa)	(-)	(-)	(-)	(-)	(deg)	(-)	(-)	(N)	(N)	(x10^6)	(deg)	(Pa)	(-)	(-)	(-)	(-)	(deg)	(-)	(-)	(N)	(N)	(x10^6)	(deg)	(Pa)	(-)	(-)	(-)	(-)	(deg)	(-)	(-)	(N)	(N)	(x10^6)
     0.000	 5.72147E+00	-4.44547E+00	-2.74312E-01	 2.15580E+01	 4.72830E+01	 1.15725E+00	 2.44928E-01	 1.16629E+00	 1.97427E-01	 4.80000E+00	 0.00000E+00	 0.00000E+00	 5.85060E+01	 1.50303E+01	 5.15562E-01	 1.15723E+01	 1.45401E+02	 1.51723E+00	 2.65968E-02	 1.49172E+00	 2.78306E-01	 4.20000E+00	 0.00000E+00	 0.00000E+00	 2.80319E+02	 7.38960E+01	 1.09986E+00	 8.05246E+00	 3.04065E+02	 1.29306E+00	 1.22965E-02	 1.28203E+00	 1.68956E-01	 3.66000E+00	 0.00000E+00	 0.00000E+00	 5.55325E+02	 1.09631E+02	 1.74271E+00	 6.87811E+00	 5.23925E+02	 1.17378E+00	 1.14628E-02	 1.16670E+00	 1.29189E-01	 2.73000E+00	 0.00000E+00	 0.00000E+00	 8.58307E+02	 1.36689E+02	 2.24562E+00	 6.71065E+00	 8.05299E+02	 1.05831E+00	 1.14198E-02	 1.05240E+00	 1.12328E-01	 1.64000E+00	 0.00000E+00	 0.00000E+00	 1.11921E+03	 1.51967E+02	 2.61069E+00	 6.93820E+00	 1.13840E+03	 9.95488E-01	 1.19892E-02	 9.89647E-01	 1.08352E-01	 5.90000E-01	 0.00000E+00	 0.00000E+00	 1.38086E+03	 1.65591E+02	 2.87430E+00	 7.23702E+00	 1.52278E+03	 9.47263E-01	 1.27886E-02	 9.41328E-01	 1.06644E-01	-2.70000E-01	 0.00000E+00	 0.00000E+00	 1.59583E+03	 1.73181E+02	 3.01438E+00	 7.29677E+00	 1.96172E+03	 8.90422E-01	 1.48960E-02	 8.85103E-01	 9.83160E-02	-7.70000E-01	 0.00000E+00	 0.00000E+00	 1.69426E+03	 1.65178E+02	 2.99609E+00	 7.02394E+00	 2.45872E+03	 8.14680E-01	 1.70605E-02	 8.10652E-01	 8.26898E-02	-9.20000E-01	 0.00000E+00	 0.00000E+00	 1.63387E+03	 1.40195E+02	 2.81755E+00	 6.40843E+00	 3.02520E+03	 7.65162E-01	 1.24713E-02	 7.61773E-01	 7.30103E-02	-9.70000E-01	 0.00000E+00	 0.00000E+00	 1.43056E+03	 1.12705E+02	 2.36679E+00
     0.004	 5.72188E+00	-4.45513E+00	-3.04850E-01	 2.15619E+01	 4.71010E+01	 1.14137E+00	 2.40270E-01	 1.14980E+00	 1.96005E-01	 4.80000E+00	-0.00000E+00	 0.00000E+00	 5.74510E+01	 1.48302E+01	 5.14569E-01	 1.15926E+01	 1.45114E+02	 1.48254E+00	 2.53958E-02	 1.45740E+00	 2.73040E-01	 4.20000E+00	-0.00000E+00	 0.00000E+00	 2.73313E+02	 7.22695E+01	 1.09877E+00	 8.08663E+00	 3.03664E+02	 1.26474E+00	 1.27883E-02	 1.25396E+00	 1.65250E-01	 3.66000E+00	-0.00000E+00	 0.00000E+00	 5.42449E+02	 1.07086E+02	 1.74156E+00	 6.93369E+00	 5.23459E+02	 1.15161E+00	 1.07804E-02	 1.14449E+00	 1.28322E-01	 2.73000E+00	-0.00000E+00	 0.00000E+00	 8.41160E+02	 1.35144E+02	 2.24462E+00	 6.79802E+00	 8.04740E+02	 1.04252E+00	 1.13550E-02	 1.03653E+00	 1.12128E-01	 1.64000E+00	-0.00000E+00	 0.00000E+00	 1.10152E+03	 1.51164E+02	 2.60978E+00	 6.99430E+00	 1.13793E+03	 9.91438E-01	 1.12876E-02	 9.85435E-01	 1.09525E-01	 5.90001E-01	-0.00000E+00	 0.00000E+00	 1.37440E+03	 1.67100E+02	 2.87372E+00	 7.25489E+00	 1.52179E+03	 9.47027E-01	 1.16131E-02	 9.40912E-01	 1.08074E-01	-2.69999E-01	-0.00000E+00	 0.00000E+00	 1.59410E+03	 1.75493E+02	 3.01340E+00	 7.27930E+00	 1.96082E+03	 8.89842E-01	 1.34196E-02	 8.84371E-01	 9.94371E-02	-7.69999E-01	-0.00000E+00	 0.00000E+00	 1.69211E+03	 1.67264E+02	 2.99541E+00	 6.99090E+00	 2.45759E+03	 8.12957E-01	 1.56454E-02	 8.08817E-01	 8.34173E-02	-9.19999E-01	-0.00000E+00	 0.00000E+00	 1.62945E+03	 1.41653E+02	 2.81690E+00	 6.34786E+00	 3.02593E+03	 7.61137E-01	 1.12145E-02	 7.57710E-01	 7.30090E-02	-9.69999E-01	-0.00000E+00	 0.00000E+00	 1.42329E+03	 1.12859E+02	 2.36708E+00
     0.008	 5.72457E+00	-4.45718E+00	-3.35933E-01	 2.15175E+01	 4.69076E+01	 1.35191E+00	 3.04274E-01	 1.36929E+00	 2.12793E-01	 4.80000E+00	-0.00000E+00	 0.00000E+00	 6.82246E+01	 1.65473E+01	 5.13512E-01	 1.16187E+01	 1.44837E+02	 1.49585E+00	 2.64420E-02	 1.47052E+00	 2.75361E-01	 4.20000E+00	-0.00000E+00	 0.00000E+00	 2.75249E+02	 7.27548E+01	 1.09772E+00	 8.12453E+00	 3.03278E+02	 1.28303E+00	 1.36456E-02	 1.27209E+00	 1.67816E-01	 3.66000E+00	-0.00000E+00	 0.00000E+00	 5.49585E+02	 1.08573E+02	 1.74045E+00	 6.99213E+00	 5.22998E+02	 1.17349E+00	 1.18971E-02	 1.16621E+00	 1.31044E-01	 2.73000E+00	-0.00000E+00	 0.00000E+00	 8.56358E+02	 1.37799E+02	 2.24363E+00	 6.88749E+00	 8.04189E+02	 1.06858E+00	 1.29151E-02	 1.06242E+00	 1.15323E-01	 1.64000E+00	-0.00000E+00	 0.00000E+00	 1.12825E+03	 1.55254E+02	 2.60889E+00	 7.05224E+00	 1.13748E+03	 1.00454E+00	 1.22191E-02	 9.98438E-01	 1.11205E-01	 5.89999E-01	-0.00000E+00	 0.00000E+00	 1.39198E+03	 1.69565E+02	 2.87315E+00	 7.27303E+00	 1.52083E+03	 9.50416E-01	 1.18835E-02	 9.44273E-01	 1.08533E-01	-2.70001E-01	-0.00000E+00	 0.00000E+00	 1.59879E+03	 1.76132E+02	 3.01245E+00	 7.26302E+00	 1.95999E+03	 8.87234E-01	 1.31981E-02	 8.81784E-01	 9.90758E-02	-7.70001E-01	-0.00000E+00	 0.00000E+00	 1.68644E+03	 1.66569E+02	 2.99477E+00	 6.95854E+00	 2.45704E+03	 8.09047E-01	 1.52553E-02	 8.04936E-01	 8.28740E-02	-9.20001E-01	-0.00000E+00	 0.00000E+00	 1.62127E+03	 1.40654E+02	 2.81659E+00	 6.28778E+00	 3.02752E+03	 7.55573E-01	 1.06726E-02	 7.52196E-01	 7.21437E-02	-9.70001E-01	-0.00000E+00	 0.00000E+00	 1.41367E+03	 1.11469E+02	 2.36770E+00
     0.012	 5.72993E+00	-4.45155E+00	-3.67504E-01	 2.14705E+01	 4.67204E+01	 1.23208E+00	 2.66309E-01	 1.24405E+00	 2.03138E-01	 4.80000E+00	-0.00000E+00	 0.00000E+00	 6.16959E+01	 1.54670E+01	 5.12486E-01	 1.16432E+01	 1.44572E+02	 1.53043E+00	 2.80874E-02	 1.50460E+00	 2.81356E-01	 4.20000E+00	-0.00000E+00	 0.00000E+00	 2.81118E+02	 7.42316E+01	 1.09672E+00	 8.16011E+00	 3.02899E+02	 1.31255E+00	 1.44886E-02	 1.30132E+00	 1.71961E-01	 3.66000E+00	-0.00000E+00	 0.00000E+00	 5.61503E+02	 1.11055E+02	 1.73936E+00	 7.04724E+00	 5.22559E+02	 1.20060E+00	 1.29247E-02	 1.19312E+00	 1.34472E-01	 2.73000E+00	-0.00000E+00	 0.00000E+00	 8.75368E+02	 1.41159E+02	 2.24269E+00	 6.97390E+00	 8.03652E+02	 1.09413E+00	 1.43400E-02	 1.08777E+00	 1.18612E-01	 1.64000E+00	-0.00000E+00	 0.00000E+00	 1.15438E+03	 1.59424E+02	 2.60802E+00	 7.10876E+00	 1.13705E+03	 1.01578E+00	 1.30288E-02	 1.00959E+00	 1.12778E-01	 5.90000E-01	-0.00000E+00	 0.00000E+00	 1.40698E+03	 1.71856E+02	 2.87260E+00	 7.28904E+00	 1.51988E+03	 9.52961E-01	 1.20790E-02	 9.46792E-01	 1.08925E-01	-2.70000E-01	-0.00000E+00	 0.00000E+00	 1.60205E+03	 1.76666E+02	 3.01151E+00	 7.24688E+00	 1.95916E+03	 8.85670E-01	 1.30264E-02	 8.80238E-01	 9.88005E-02	-7.70000E-01	-0.00000E+00	 0.00000E+00	 1.68277E+03	 1.66013E+02	 2.99414E+00	 6.92684E+00	 2.45698E+03	 8.06670E-01	 1.49601E-02	 8.02587E-01	 8.24350E-02	-9.20000E-01	-0.00000E+00	 0.00000E+00	 1.61649E+03	 1.39844E+02	 2.81655E+00	 6.22926E+00	 3.02980E+03	 7.51878E-01	 1.02550E-02	 7.48552E-01	 7.13897E-02	-9.70000E-01	-0.00000E+00	 0.00000E+00	 1.40786E+03	 1.10253E+02	 2.36859E+00
     0.016	 5.73852E+00	-4.43856E+00	-3.99510E-01	 2.14223E+01	 4.65425E+01	 1.12494E+00	 2.32468E-01	 1.13213E+00	 1.94465E-01	 4.80000E+00	-0.00000E+00	 0.00000E+00	 5.58912E+01	 1.45029E+01	 5.11510E-01	 1.16668E+01	 1.44329E+02	 1.54241E+00	 2.89958E-02	 1.51641E+00	 2.83509E-01	 4.20000E+00	-0.00000E+00	 0.00000E+00	 2.82850E+02	 7.46782E+01	 1.09580E+00	 8.19401E+00	 3.02554E+02	 1.32173E+00	 1.51623E-02	 1.31039E+00	 1.73372E-01	 3.66000E+00	-0.00000E+00	 0.00000E+00	 5.64770E+02	 1.11794E+02	 1.73837E+00	 7.10078E+00	 5.22146E+02	 1.20806E+00	 1.37925E-02	 1.20050E+00	 1.35648E-01	 2.73000E+00	-0.00000E+00	 0.00000E+00	 8.80077E+02	 1.42173E+02	 2.24181E+00	 7.05872E+00	 8.03124E+02	 1.10183E+00	 1.55131E-02	 1.09538E+00	 1.20004E-01	 1.64000E+00	-0.00000E+00	 0.00000E+00	 1.16168E+03	 1.61033E+02	 2.60716E+00	 7.16653E+00	 1.13620E+03	 1.01981E+00	 1.37198E-02	 1.01355E+00	 1.13612E-01	 5.90001E-01	-0.00000E+00	 0.00000E+00	 1.41144E+03	 1.72947E+02	 2.87152E+00	 7.30486E+00	 1.51893E+03	 9.53786E-01	 1.22305E-02	 9.47600E-01	 1.09141E-01	-2.69999E-01	-0.00000E+00	 0.00000E+00	 1.60242E+03	 1.76914E+02	 3.01056E+00	 7.23204E+00	 1.95831E+03	 8.84816E-01	 1.29059E-02	 8.79401E-01	 9.85845E-02	-7.69999E-01	-0.00000E+00	 0.00000E+00	 1.68044E+03	 1.65550E+02	 2.99349E+00	 6.89573E+00	 2.45738E+03	 8.04990E-01	 1.47174E-02	 8.00934E-01	 8.20384E-02	-9.20000E-01	-0.00000E+00	 0.00000E+00	 1.61341E+03	 1.39122E+02	 2.81678E+00	 6.17140E+00	 3.03269E+03	 7.48571E-01	 9.88034E-03	 7.45295E-01	 7.06506E-02	-9.70000E-01	-0.00000E+00	 0.00000E+00	 1.40306E+03	 1.09073E+02	 2.36972E+00
     0.020	 5.75089E+00	-4.41856E+00	-4.31889E-01	 2.13743E+01	 4.63738E+01	 1.10050E+00	 2.24091E-01	 1.10648E+00	 1.92409E-01	 4.80000E+00	-0.00000E+00	 0.00000E+00	 5.44168E+01	 1.42402E+01	 5.10582E-01	 1.16919E+01	 1.44103E+02	 1.53947E+00	 2.94533E-02	 1.51349E+00	 2.83128E-01	 4.20000E+00	-0.00000E+00	 0.00000E+00	 2.81861E+02	 7.44487E+01	 1.09494E+00	 8.22870E+00	 3.02227E+02	 1.32122E+00	 1.57667E-02	 1.30988E+00	 1.73495E-01	 3.66000E+00	-0.00000E+00	 0.00000E+00	 5.63932E+02	 1.11713E+02	 1.73743E+00	 7.15456E+00	 5.21757E+02	 1.20931E+00	 1.45793E-02	 1.20171E+00	 1.36149E-01	 2.73000E+00	-0.00000E+00	 0.00000E+00	 8.80294E+02	 1.42479E+02	 2.24097E+00	 7.14411E+00	 8.02622E+02	 1.10525E+00	 1.65666E-02	 1.09873E+00	 1.21017E-01	 1.64000E+00	-0.00000E+00	 0.00000E+00	 1.16448E+03	 1.62110E+02	 2.60634E+00	 7.22590E+00	 1.13533E+03	 1.02299E+00	 1.43618E-02	 1.01667E+00	 1.14426E-01	 5.90001E-01	-0.00000E+00	 0.00000E+00	 1.41470E+03	 1.73993E+02	 2.87042E+00	 7.32299E+00	 1.51797E+03	 9.54547E-01	 1.23998E-02	 9.48341E-01	 1.09370E-01	-2.69999E-01	-0.00000E+00	 0.00000E+00	 1.60266E+03	 1.77183E+02	 3.00961E+00	 7.22039E+00	 1.95743E+03	 8.84157E-01	 1.28454E-02	 8.78760E-01	 9.83829E-02	-7.69999E-01	-0.00000E+00	 0.00000E+00	 1.67846E+03	 1.65107E+02	 2.99282E+00	 6.86651E+00	 2.45819E+03	 8.03338E-01	 1.45165E-02	 7.99312E-01	 8.16320E-02	-9.20000E-01	-0.00000E+00	 0.00000E+00	 1.61067E+03	 1.38403E+02	 2.81724E+00	 6.11414E+00	 3.03615E+03	 7.45188E-01	 9.52210E-03	 7.41964E-01	 6.99017E-02	-9.70001E-01	-0.00000E+00	 0.00000E+00	 1.39837E+03	 1.07894E+02	 2.37107E+00
     0.024	 5.76671E+00	-4.39846E+00	-4.65671E-01	 2.13256E+01	 4.62139E+01	 1.09939E+00	 2.22866E-01	 1.10516E+00	 1.92204E-01	 4.80000E+00	-0.00000E+00	 0.00000E+00	 5.41644E+01	 1.41753E+01	 5.09700E-01	 1.17170E+01	 1.43895E+02	 1.54067E+00	 3.00197E-02	 1.51466E+00	 2.83483E-01	 4.20000E+00	-0.00000E+00	 0.00000E+00	 2.81669E+02	 7.44243E+01	 1.09415E+00	 8.26312E+00	 3.01923E+02	 1.32189E+00	 1.63403E-02	 1.31052E+00	 1.73811E-01	 3.66000E+00	-0.00000E+00	 0.00000E+00	 5.63632E+02	 1.11755E+02	 1.73656E+00	 7.20797E+00	 5.21382E+02	 1.21107E+00	 1.53077E-02	 1.20342E+00	 1.36768E-01	 2.73000E+00	-0.00000E+00	 0.00000E+00	 8.80898E+02	 1.42892E+02	 2.24016E+00	 7.22960E+00	 8.02135E+02	 1.10922E+00	 1.75429E-02	 1.10261E+00	 1.22187E-01	 1.64000E+00	-0.00000E+00	 0.00000E+00	 1.16786E+03	 1.63373E+02	 2.60555E+00	 7.28759E+00	 1.13445E+03	 1.02669E+00	 1.49878E-02	 1.02030E+00	 1.15369E-01	 5.90002E-01	-0.00000E+00	 0.00000E+00	 1.41865E+03	 1.75225E+02	 2.86932E+00	 7.34392E+00	 1.51700E+03	 9.55986E-01	 1.26004E-02	 9.49754E-01	 1.09702E-01	-2.69998E-01	-0.00000E+00	 0.00000E+00	 1.60402E+03	 1.77618E+02	 3.00865E+00	 7.20646E+00	 1.95700E+03	 8.83670E-01	 1.27578E-02	 8.78290E-01	 9.81951E-02	-7.69999E-01	-0.00000E+00	 0.00000E+00	 1.67719E+03	 1.64726E+02	 2.99249E+00	 6.84005E+00	 2.45940E+03	 8.01833E-01	 1.43585E-02	 7.97836E-01	 8.12404E-02	-9.20000E-01	-0.00000E+00	 0.00000E+00	 1.60848E+03	 1.37731E+02	 2.81794E+00	 6.05911E+00	 3.03954E+03	 7.41927E-01	 9.18849E-03	 7.38752E-01	 6.91765E-02	-9.70001E-01	-0.00000E+00	 0.00000E+00	 1.39386E+03	 1.06751E+02	 2.37239E+00
     0.028	 5.78323E+00	-4.39698E+00	-5.01824E-01	 2.12753E+01	 4.60628E+01	 1.10315E+00	 2.23106E-01	 1.10892E+00	 1.92375E-01	 4.80000E+00	-0.00000E+00	 0.00000E+00	 5.41731E+01	 1.41532E+01	 5.08866E-01	 1.17411E+01	 1.43707E+02	 1.54507E+00	 3.06381E-02	 1.51898E+00	 2.84408E-01	 4.20000E+00	-0.00000E+00	 0.00000E+00	 2.82101E+02	 7.45610E+01	 1.09343E+00	 8.29645E+00	 3.01645E+02	 1.32421E+00	 1.68726E-02	 1.31279E+00	 1.74381E-01	 3.66000E+00	-0.00000E+00	 0.00000E+00	 5.64083E+02	 1.11962E+02	 1.73576E+00	 7.26079E+00	 5.21047E+02	 1.21353E+00	 1.59811E-02	 1.20582E+00	 1.37520E-01	 2.73000E+00	-0.00000E+00	 0.00000E+00	 8.82067E+02	 1.43437E+02	 2.23944E+00	 7.31486E+00	 8.01668E+02	 1.11398E+00	 1.84505E-02	 1.10726E+00	 1.23534E-01	 1.64000E+00	-0.00000E+00	 0.00000E+00	 1.17208E+03	 1.64850E+02	 2.60479E+00	 7.35184E+00	 1.13358E+03	 1.03100E+00	 1.56087E-02	 1.02452E+00	 1.16448E-01	 5.90004E-01	-0.00000E+00	 0.00000E+00	 1.42341E+03	 1.76652E+02	 2.86822E+00	 7.36840E+00	 1.51600E+03	 9.57946E-01	 1.28399E-02	 9.51682E-01	 1.10121E-01	-2.69996E-01	-0.00000E+00	 0.00000E+00	 1.60622E+03	 1.78193E+02	 3.00765E+00	 7.19443E+00	 1.95677E+03	 8.82687E-01	 1.26964E-02	 8.77328E-01	 9.79485E-02	-7.69997E-01	-0.00000E+00	 0.00000E+00	 1.67515E+03	 1.64261E+02	 2.99231E+00	 6.81640E+00	 2.46099E+03	 8.00511E-01	 1.42342E-02	 7.96543E-01	 8.08777E-02	-9.19999E-01	-0.00000E+00	 0.00000E+00	 1.60691E+03	 1.37131E+02	 2.81885E+00	 6.00906E+00	 3.04124E+03	 7.39071E-01	 8.90020E-03	 7.35942E-01	 6.85189E-02	-9.70002E-01	-0.00000E+00	 0.00000E+00	 1.38932E+03	 1.05661E+02	 2.37306E+00
     0.032	 5.80393E+00	-4.39772E+00	-5.36561E-01	 2.12233E+01	 4.59209E+01	 1.10347E+00	 2.22276E-01	 1.10910E+00	 1.92260E-01	 4.80000E+00	-0.00000E+00	 0.00000E+00	 5.40155E+01	 1.41046E+01	 5.08082E-01	 1.17640E+01	 1.43536E+02	 1.54687E+00	 3.11244E-02	 1.52072E+00	 2.84907E-01	 4.20000E+00	-0.00000E+00	 0.00000E+00	 2.82085E+02	 7.45899E+01	 1.09278E+00	 8.32916E+00	 3.01380E+02	 1.32530E+00	 1.73575E-02	 1.31384E+00	 1.74809E-01	 3.66000E+00	-0.00000E+00	 0.00000E+00	 5.64029E+02	 1.12078E+02	 1.73499E+00	 7.31250E+00	 5.20725E+02	 1.21621E+00	 1.65921E-02	 1.20843E+00	 1.38343E-01	 2.73000E+00	-0.00000E+00	 0.00000E+00	 8.83415E+02	 1.44046E+02	 2.23875E+00	 7.39962E+00	 8.01218E+02	 1.11907E+00	 1.92901E-02	 1.11224E+00	 1.24995E-01	 1.64001E+00	-0.00000E+00	 0.00000E+00	 1.17666E+03	 1.66459E+02	 2.60406E+00	 7.41910E+00	 1.13271E+03	 1.03583E+00	 1.62357E-02	 1.02925E+00	 1.17652E-01	 5.90006E-01	-0.00000E+00	 0.00000E+00	 1.42888E+03	 1.78258E+02	 2.86712E+00	 7.39661E+00	 1.51498E+03	 9.60339E-01	 1.31163E-02	 9.54037E-01	 1.10624E-01	-2.69994E-01	-0.00000E+00	 0.00000E+00	 1.60911E+03	 1.78902E+02	 3.00664E+00	 7.18539E+00	 1.95668E+03	 8.81967E-01	 1.26810E-02	 8.76626E-01	 9.77352E-02	-7.69995E-01	-0.00000E+00	 0.00000E+00	 1.67373E+03	 1.63865E+02	 2.99225E+00	 6.77841E+00	 2.46340E+03	 7.98439E-01	 1.39117E-02	 7.94500E-01	 8.04251E-02	-9.19999E-01	-0.00000E+00	 0.00000E+00	 1.60434E+03	 1.36419E+02	 2.82023E+00	 5.96182E+00	 3.04269E+03	 7.36524E-01	 8.61998E-03	 7.33436E-01	 6.79263E-02	-9.70003E-01	-0.00000E+00	 0.00000E+00	 1.38524E+03	 1.04674E+02	 2.37362E+00
